OCC_CODE,OCC_TITLE,tot_emp_per_year,a_mean_per_year,group,year
25-1191,Graduate teaching assistants,122120,         32770,,2009
25-1192,"Home economics teachers, postsecondary",4800,         68210,,2009
25-1193,"Recreation and fitness studies teachers, postsecondary",16850,         60580,,2009
25-1194,"Vocational education teachers, postsecondary",114420,         52030,,2009
25-1199,"Postsecondary teachers, all other",205760,         74330,,2009
25-2011,"Preschool teachers, except special education",389660,         27450,,2009
25-2012,"Kindergarten teachers, except special education",181810,         50380,,2009
25-2021,"Elementary school teachers, except special education",1544300,         53150,,2009
25-2022,"Middle school teachers, except special and vocational education",665420,         53550,,2009
25-2023,"Vocational education teachers, middle school",14060,         51520,,2009
25-2031,"Secondary school teachers, except special and vocational education",1091710,         55150,,2009
25-2032,"Vocational education teachers, secondary school",92980,         54420,,2009
25-2041,"Special education teachers, preschool, kindergarten, and elementary school",228580,         53770,,2009
25-2042,"Special education teachers, middle school",102490,         54750,,2009
25-2043,"Special education teachers, secondary school",146240,         56420,,2009
25-3011,"Adult literacy, remedial education, and GED teachers and instructors",68430,         50390,,2009
25-3021,Self-enrichment education teachers,162330,         41360,,2009
25-3099,"Teachers and instructors, all other",599500,         41110,,2009
25-4011,Archivists,4900,         49600,,2009
25-4012,Curators,10410,         52330,,2009
25-4013,Museum technicians and conservators,10170,         41330,,2009
25-4021,Librarians,150520,         55670,,2009
25-4031,Library technicians,111390,         31060,,2009
25-9011,Audio-visual collections specialists,6800,         46490,,2009
25-9021,Farm and home management advisors,9830,         46370,,2009
25-9031,Instructional coordinators,124480,         61270,,2009
25-9041,Teacher assistants,1275410,         24280,,2009
25-9099,"Education, training, and library workers, all other",104500,         41880,,2009
27-0000,"Arts, design, entertainment, sports, and media occupations",1745670,         51720,major,2009
27-1011,Art directors,31660,         91520,,2009
27-1012,Craft artists,5380,         33070,,2009
27-1013,"Fine artists, including painters, sculptors, and illustrators",8900,         50630,,2009
27-1014,Multi-media artists and animators,28800,         62810,,2009
27-1019,"Artists and related workers, all other",8100,         57470,,2009
27-1021,Commercial and industrial designers,29170,         61400,,2009
27-1022,Fashion designers,15780,         74410,,2009
27-1023,Floral designers,51470,         24940,,2009
27-1024,Graphic designers,200870,         47820,,2009
27-1025,Interior designers,46010,         51990,,2009
27-1026,Merchandise displayers and window trimmers,61280,         28480,,2009
27-1027,Set and exhibit designers,7940,         50600,,2009
27-1029,"Designers, all other",10510,         50420,,2009
27-2011,Actors,39880,*,,2009
27-2012,Producers and directors,79780,         86870,,2009
27-2021,Athletes and sports competitors,13620,         80950,,2009
27-2022,Coaches and scouts,179830,         35740,,2009
27-2023,"Umpires, referees, and other sports officials",14860,         28490,,2009
27-2031,Dancers,10700,*,,2009
27-2032,Choreographers,14700,         42130,,2009
27-2041,Music directors and composers,14330,         53410,,2009
27-2042,Musicians and singers,47260,*,,2009
27-2099,"Entertainers and performers, sports and related workers, all other",23500,*,,2009
27-3011,Radio and television announcers,35130,         41590,,2009
27-3012,Public address system and other announcers,7280,         36130,,2009
27-3021,Broadcast news analysts,5820,         67990,,2009
27-3022,Reporters and correspondents,46130,         43270,,2009
27-3031,Public relations specialists,242670,         59370,,2009
27-3041,Editors,105040,         58440,,2009
27-3042,Technical writers,46270,         65610,,2009
27-3043,Writers and authors,43390,         64560,,2009
27-3091,Interpreters and translators,40000,         45700,,2009
27-3099,"Media and communication workers, all other",25460,         50680,,2009
27-4011,Audio and video equipment technicians,46070,         42450,,2009
27-4012,Broadcast technicians,31220,         38330,,2009
27-4013,Radio operators,870,         43400,,2009
27-4014,Sound engineering technicians,15560,         53940,,2009
27-4021,Photographers,57760,         36370,,2009
27-4031,"Camera operators, television, video, and motion picture",17540,         49590,,2009
27-4032,Film and video editors,17550,         63680,,2009
27-4099,"Media and communication equipment workers, all other",17610,         59880,,2009
29-0000,Healthcare practitioner and technical occupations,7200950,         69690,major,2009
29-1011,Chiropractors,26310,         80390,,2009
29-1021,"Dentists, general",86270,        156850,,2009
29-1022,Oral and maxillofacial surgeons,5390,        210710,,2009
29-1023,Orthodontists,5410,        206190,,2009
29-1024,Prosthodontists,660,        125400,,2009
29-1029,"Dentists, all other specialists",5010,        153570,,2009
29-1031,Dietitians and nutritionists,53220,         53230,,2009
29-1041,Optometrists,26480,        106960,,2009
29-1051,Pharmacists,267860,        106630,,2009
29-1061,Anesthesiologists,37450,        211750,,2009
29-1062,Family and general practitioners,99000,        168550,,2009
29-1063,"Internists, general",48270,        183990,,2009
29-1064,Obstetricians and gynecologists,20380,        204470,,2009
29-1065,"Pediatricians, general",29460,        161410,,2009
29-1066,Psychiatrists,22210,        163660,,2009
29-1067,Surgeons,44560,        219770,,2009
29-1069,"Physicians and surgeons, all other",274160,        173860,,2009
29-1071,Physician assistants,76900,         84830,,2009
29-1081,Podiatrists,9720,        131730,,2009
29-1111,Registered nurses,2583770,         66530,,2009
29-1121,Audiologists,12590,         66850,,2009
29-1122,Occupational therapists,97840,         70680,,2009
29-1123,Physical therapists,174490,         76220,,2009
29-1124,Radiation therapists,15570,         77340,,2009
29-1125,Recreational therapists,21960,         41270,,2009
29-1126,Respiratory therapists,107270,         54200,,2009
29-1127,Speech-language pathologists,111640,         68350,,2009
29-1129,"Therapists, all other",13440,         54400,,2009
29-1131,Veterinarians,54130,         90110,,2009
29-1199,"Health diagnosing and treating practitioners, all other",32960,         77630,,2009
29-2011,Medical and clinical laboratory technologists,166860,         55620,,2009
29-2012,Medical and clinical laboratory technicians,152420,         37860,,2009
29-2021,Dental hygienists,173900,         67860,,2009
29-2031,Cardiovascular technologists and technicians,48070,         49730,,2009
29-2032,Diagnostic medical sonographers,51630,         63640,,2009
29-2033,Nuclear medicine technologists,21670,         68450,,2009
29-2034,Radiologic technologists and technicians,213560,         54180,,2009
29-2041,Emergency medical technicians and paramedics,217920,         33020,,2009
29-2051,Dietetic technicians,24510,         28530,,2009
29-2052,Pharmacy technicians,331890,         28940,,2009
29-2053,Psychiatric technicians,70730,         30730,,2009
29-2054,Respiratory therapy technicians,15100,         45680,,2009
29-2055,Surgical technologists,91250,         40710,,2009
29-2056,Veterinary technologists and technicians,79200,         30580,,2009
29-2061,Licensed practical and licensed vocational nurses,728670,         40900,,2009
29-2071,Medical records and health information technicians,170580,         33880,,2009
29-2081,"Opticians, dispensing",60840,         34790,,2009
29-2091,Orthotists and prosthetists,5470,         66600,,2009
29-2099,"Health technologists and technicians, all other",78600,         42180,,2009
29-9011,Occupational health and safety specialists,51850,         64200,,2009
29-9012,Occupational health and safety technicians,10070,         47280,,2009
29-9091,Athletic trainers,15260,         44020,,2009
29-9099,"Healthcare practitioners and technical workers, all other",56520,         52110,,2009
31-0000,Healthcare support occupations,3886690,         26710,major,2009
31-1011,Home health aides,955220,         21620,,2009
31-1012,"Nursing aides, orderlies, and attendants",1438010,         24980,,2009
31-1013,Psychiatric aides,62610,         27430,,2009
31-2011,Occupational therapist assistants,26680,         50830,,2009
31-2012,Occupational therapist aides,8040,         28890,,2009
31-2021,Physical therapist assistants,63750,         48590,,2009
31-2022,Physical therapist aides,44160,         24990,,2009
31-9011,Massage therapists,55920,         39780,,2009
31-9091,Dental assistants,294020,         34000,,2009
31-9092,Medical assistants,495970,         29450,,2009
31-9093,Medical equipment preparers,47070,         29780,,2009
31-9094,Medical transcriptionists,82810,         33350,,2009
31-9095,Pharmacy aides,52230,         22330,,2009
31-9096,Veterinary assistants and laboratory animal caretakers,71350,         23400,,2009
31-9099,"Healthcare support workers, all other",188850,         31340,,2009
33-0000,Protective service occupations,3172420,         41740,major,2009
33-1011,First-line supervisors/managers of correctional officers,45540,         59810,,2009
33-1012,First-line supervisors/managers of police and detectives,99900,         78580,,2009
33-1021,First-line supervisors/managers of fire fighting and prevention workers,57750,         71680,,2009
33-1099,"First-line supervisors/managers, protective service workers, all other",49360,         48640,,2009
33-2011,Fire fighters,305500,         47270,,2009
33-2021,Fire inspectors and investigators,12180,         56310,,2009
33-2022,Forest fire inspectors and prevention specialists,1540,         38180,,2009
33-3011,Bailiffs,17140,         40240,,2009
33-3012,Correctional officers and jailers,455350,         42610,,2009
33-3021,Detectives and criminal investigators,110380,         65860,,2009
33-3031,Fish and game wardens,7530,         54950,,2009
33-3041,Parking enforcement workers,9670,         35360,,2009
33-3051,Police and sheriff's patrol officers,641590,         55180,,2009
33-3052,Transit and railroad police,3930,         52350,,2009
33-9011,Animal control workers,15320,         33560,,2009
33-9021,Private detectives and investigators,31250,         47130,,2009
33-9031,Gaming surveillance officers and gaming investigators,7670,         32460,,2009
33-9032,Security guards,1028830,         26430,,2009
33-9091,Crossing guards,68470,         25430,,2009
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",115640,         20490,,2009
33-9099,"Protective service workers, all other",87880,         32650,,2009
35-0000,Food preparation and serving related occupations,11218260,         20880,major,2009
35-1011,Chefs and head cooks,94300,         44240,,2009
35-1012,First-line supervisors/managers of food preparation and serving workers,791750,         31460,,2009
35-2011,"Cooks, fast food",539520,         18230,,2009
35-2012,"Cooks, institution and cafeteria",383540,         23870,,2009
35-2013,"Cooks, private household",770,         27720,,2009
35-2014,"Cooks, restaurant",898820,         23110,,2009
35-2015,"Cooks, short order",166140,         20670,,2009
35-2019,"Cooks, all other",19210,         24730,,2009
35-2021,Food preparation workers,849400,         20420,,2009
35-3011,Bartenders,492480,         20970,,2009
35-3021,"Combined food preparation and serving workers, including fast food",2695740,         18120,,2009
35-3022,"Counter attendants, cafeteria, food concession, and coffee shop",490980,         18990,,2009
35-3031,Waiters and waitresses,2302070,         20380,,2009
35-3041,"Food servers, nonrestaurant",194950,         21620,,2009
35-9011,Dining room and cafeteria attendants and bartender helpers,402020,         18900,,2009
35-9021,Dishwashers,512990,         18330,,2009
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",334310,         19190,,2009
35-9099,"Food preparation and serving related workers, all other",49260,         22060,,2009
37-0000,Building and grounds cleaning and maintenance occupations,4269480,         24970,major,2009
37-1011,First-line supervisors/managers of housekeeping and janitorial workers,177730,         37180,,2009
37-1012,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",103540,         44080,,2009
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",2090400,         24120,,2009
37-2012,Maids and housekeeping cleaners,887890,         20840,,2009
37-2019,"Building cleaning workers, all other",12290,         28190,,2009
37-2021,Pest control workers,63500,         32100,,2009
37-3011,Landscaping and groundskeeping workers,859960,         25340,,2009
37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",23530,         31420,,2009
37-3013,Tree trimmers and pruners,37830,         32090,,2009
37-3019,"Grounds maintenance workers, all other",12840,         28400,,2009
39-0000,Personal care and service occupations,3461910,         24680,major,2009
39-1011,Gaming supervisors,24760,         48920,,2009
39-1012,Slot key persons,14310,         28560,,2009
39-1021,First-line supervisors/managers of personal service workers,129890,         38540,,2009
39-2011,Animal trainers,10080,         31080,,2009
39-2021,Nonfarm animal caretakers,132860,         21830,,2009
39-3011,Gaming dealers,86900,         20290,,2009
39-3012,Gaming and sports book writers and runners,14790,         23460,,2009
39-3019,"Gaming service workers, all other",12050,         25380,,2009
39-3021,Motion picture projectionists,10310,         22950,,2009
39-3031,"Ushers, lobby attendants, and ticket takers",104360,         19610,,2009
39-3091,Amusement and recreation attendants,257350,         19450,,2009
39-3092,Costume attendants,5150,         32180,,2009
39-3093,"Locker room, coatroom, and dressing room attendants",18470,         21640,,2009
39-3099,"Entertainment attendants and related workers, all other",45080,         21020,,2009
39-4011,Embalmers,8190,         41180,,2009
39-4021,Funeral attendants,31900,         23880,,2009
39-5011,Barbers,10550,         27650,,2009
39-5012,"Hairdressers, hairstylists, and cosmetologists",349210,         27070,,2009
39-5091,"Makeup artists, theatrical and performance",1930,         45010,,2009
39-5092,Manicurists and pedicurists,53020,         22150,,2009
39-5093,Shampooers,16170,         18890,,2009
39-5094,Skin care specialists,28210,         31990,,2009
39-6011,Baggage porters and bellhops,49380,         23580,,2009
39-6012,Concierges,20470,         28760,,2009
39-6021,Tour guides and escorts,31630,         25990,,2009
39-6022,Travel guides,4270,         33300,,2009
39-6031,Flight attendants,95810,         43350,,2009
39-6032,"Transportation attendants, except flight attendants and baggage porters",22450,         23230,,2009
39-9011,Child care workers,595650,         20940,,2009
39-9021,Personal and home care aides,630740,         20280,,2009
39-9031,Fitness trainers and aerobics instructors,228170,         35340,,2009
39-9032,Recreation workers,286230,         25040,,2009
39-9041,Residential advisors,57280,         26070,,2009
39-9099,"Personal care and service workers, all other",74310,         22860,,2009
41-0000,Sales and related occupations,13715050,         36020,major,2009
41-1011,First-line supervisors/managers of retail sales workers,1163040,         39130,,2009
41-1012,First-line supervisors/managers of non-retail sales workers,261200,         79610,,2009
41-2011,Cashiers,3439380,         19030,,2009
41-2012,Gaming change persons and booth cashiers,19480,         23110,,2009
41-2021,Counter and rental clerks,416950,         24680,,2009
41-2022,Parts salespersons,208350,         30460,,2009
41-2031,Retail salespersons,4209500,         24630,,2009
41-3011,Advertising sales agents,152420,         53190,,2009
41-3021,Insurance sales agents,325710,         61330,,2009
41-3031,"Securities, commodities, and financial services sales agents",271670,         91390,,2009
41-3041,Travel agents,76990,         32450,,2009
41-3099,"Sales representatives, services, all other",543560,         59250,,2009
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",406140,         81370,,2009
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",1409780,         61400,,2009
41-9011,Demonstrators and product promoters,80910,         26640,,2009
41-9012,Models,1510,         36420,,2009
41-9021,Real estate brokers,48380,         78360,,2009
41-9022,Real estate sales agents,151550,         53100,,2009
41-9031,Sales engineers,71640,         90540,,2009
41-9041,Telemarketers,307730,         24760,,2009
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",8460,         26320,,2009
41-9099,"Sales and related workers, all other",140680,         41840,,2009
43-0000,Office and administrative support occupations,22336450,         32990,major,2009
43-1011,First-line supervisors/managers of office and administrative support workers,1381060,         49990,,2009
43-2011,"Switchboard operators, including answering service",146980,         26000,,2009
43-2021,Telephone operators,21960,         32410,,2009
43-2099,"Communications equipment operators, all other",2810,         38850,,2009
43-3011,Bill and account collectors,403100,         32560,,2009
43-3021,Billing and posting clerks and machine operators,493780,         32900,,2009
43-3031,"Bookkeeping, accounting, and auditing clerks",1757870,         34750,,2009
43-3041,Gaming cage workers,16070,         26360,,2009
43-3051,Payroll and timekeeping clerks,190810,         36600,,2009
43-3061,Procurement clerks,78150,         36430,,2009
43-3071,Tellers,576580,         24780,,2009
43-4011,Brokerage clerks,62470,         42750,,2009
43-4021,Correspondence clerks,10370,         32990,,2009
43-4031,"Court, municipal, and license clerks",120690,         35570,,2009
43-4041,"Credit authorizers, checkers, and clerks",57220,         33700,,2009
43-4051,Customer service representatives,2195860,         32410,,2009
43-4061,"Eligibility interviewers, government programs",110850,         40680,,2009
43-4071,File clerks,188510,         26320,,2009
43-4081,"Hotel, motel, and resort desk clerks",224360,         21130,,2009
43-4111,"Interviewers, except eligibility and loan",215930,         29780,,2009
43-4121,"Library assistants, clerical",115310,         24790,,2009
43-4131,Loan interviewers and clerks,195310,         34670,,2009
43-4141,New accounts clerks,81650,         31490,,2009
43-4151,Order clerks,227190,         29890,,2009
43-4161,"Human resources assistants, except payroll and timekeeping",161920,         37840,,2009
